FID,Shape,class,class_code,comm_code,comm_struc,name,sector,srg,Area_sq_m
195,Polygon,Residential,1,WHL,INNER CITY,WEST HILLHURST,CENTRE,BUILT-OUT,2362700
1,Polygon,Residential,1,WSP,BUILDING OUT,WEST SPRINGS,WEST,DEVELOPING,4074790
249,Polygon,Residential,1,WGT,1950s,WESTGATE,WEST,BUILT-OUT,1151180
90,Polygon,Industrial,2,WES,EMPLOYMENT,WESTWINDS,NORTHEAST,N/A,1951010
114,Polygon,Residential,1,WHI,1960s/1970s,WHITEHORN,NORTHEAST,BUILT-OUT,2646460
14,Polygon,Residential,1,WLD,1950s,WILDWOOD,WEST,BUILT-OUT,2566570
213,Polygon,Residential,1,WIL,1960s/1970s,WILLOW PARK,SOUTH,BUILT-OUT,3399020
3,Polygon,Residential,1,WND,1950s,WINDSOR PARK,CENTRE,BUILT-OUT,1276490
186,Polygon,Residential,1,WIN,1950s,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,BUILT-OUT,3014400
66,Polygon,Residential,1,WWO,BUILDING OUT,WOLF WILLOW,SOUTH,DEVELOPING,2860530
96,Polygon,Residential,1,WBN,1980s/1990s,WOODBINE,SOUTH,BUILT-OUT,3181040
37,Polygon,Residential,1,WOO,1980s/1990s,WOODLANDS,SOUTH,BUILT-OUT,2800760
273,Polygon,Residential,1,YKV,BUILDING OUT,YORKVILLE,SOUTH,DEVELOPING,1318080
