CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,location
Residential,1,GDL,GLENDALE,WEST,BUILT-OUT,1950s,-114.152740180516,51.0333792139614,"(51.033379213961, -114.152740180516)"
Industrial,2,GBP,GLENDEER BUSINESS PARK,SOUTH,N/A,EMPLOYMENT,-114.03029314161,50.9890064907777,"(50.989006490778, -114.03029314161)"
Residential,1,GBK,GLENBROOK,WEST,BUILT-OUT,1950s,-114.152686333477,51.0242164000599,"(51.02421640006, -114.152686333477)"
Residential,1,GAW,GARRISON WOODS,CENTRE,BUILT-OUT,INNER CITY,-114.113619309711,51.0171879990812,"(51.017187999081, -114.113619309711)"
Residential,1,GAG,GARRISON GREEN,WEST,BUILT-OUT,BUILDING OUT,-114.124738716252,51.0030865679957,"(51.003086567996, -114.124738716252)"
Industrial,2,FVI,FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,-114.068827602176,50.9869133954786,"(50.986913395479, -114.068827602176)"
Industrial,2,FRA,FRANKLIN,NORTHEAST,N/A,EMPLOYMENT,-113.987524692553,51.0589272896889,"(51.058927289689, -113.987524692553)"
Major Park,3,FPK,FISH CREEK PARK,SOUTH,N/A,PARKS,-114.026520925834,50.9096020442377,"(50.909602044238, -114.026520925834)"
Residential,1,FLN,FOREST LAWN,EAST,BUILT-OUT,1950s,-113.969932540436,51.037846220404,"(51.037846220404, -113.969932540436)"
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,EAST,N/A,EMPLOYMENT,-113.956971806436,51.0271133162516,"(51.027113316252, -113.956971806436)"
Residential,1,FHT,FOREST HEIGHTS,EAST,BUILT-OUT,1960s/1970s,-113.96877273425,51.0492381704163,"(51.049238170416, -113.96877273425)"
Industrial,2,FHI,FOOTHILLS,EAST,N/A,EMPLOYMENT,-113.981981981634,50.9941660901203,"(50.99416609012, -113.981981981634)"
Residential,1,FAL,FALCONRIDGE,NORTHEAST,BUILT-OUT,1980s/1990s,-113.946709148585,51.1032993760716,"(51.103299376072, -113.946709148585)"
Residential,1,FAI,FAIRVIEW,SOUTH,BUILT-OUT,1950s,-114.060794071197,50.9851491339648,"(50.985149133965, -114.060794071197)"
Residential,1,EYA,ELBOYA,CENTRE,BUILT-OUT,1950s,-114.073623214314,51.0129928117009,"(51.012992811701, -114.073623214314)"
Residential,1,EVN,EVANSTON,NORTH,DEVELOPING,BUILDING OUT,-114.112452815941,51.1711806369904,"(51.17118063699, -114.112452815941)"
Residential,1,EVE,EVERGREEN,SOUTH,DEVELOPING,BUILDING OUT,-114.115316324128,50.9186997881711,"(50.918699788171, -114.115316324128)"
Industrial,2,ESH,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,-113.950956527149,50.9512517797125,"(50.951251779713, -113.950956527149)"
