name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Voyage,Disco,0.838,0.795,0,-8.661,1,0.0446,0.662,0.914,128.077,4,4ialwDYlbguQs0POO51ENH,Kechak Fantasy,0,The Best of Voyage,1983-07-01,C,major,C major,187400
Voyage,Disco,0.629,0.89,9,-9.55,1,0.0398,0.0365,0.865,128.244,4,4ialwDYlbguQs0POO51ENH,Eastern Trip,0,The Best of Voyage,1983-07-01,A,major,A major,123466
Voyage,Disco,0.681,0.781,2,-11.425,1,0.0421,0,0.966,127.899,4,4ialwDYlbguQs0POO51ENH,Tahiti Tahiti,1,The Best of Voyage,1983-07-01,D,major,D major,302626
Voyage,Disco,0.698,0.787,9,-11.019,0,0.0319,0.821,0.866,128.735,4,4ialwDYlbguQs0POO51ENH,From East to West,0,The Best of Voyage,1983-07-01,A,minor,A minor,428826
Walter Murphy,Disco,0.704,0.701,5,-8.085,1,0.0448,1.78e-5,0.839,126.608,4,3WGhDlddrE9npY07UYyA7D,(You've Got To) Be Your Own Best Friend,9,A Fifth of Beethoven,1976-10-31,F,major,F major,207386
Walter Murphy,Disco,0.619,0.683,0,-7.28,1,0.0632,0.0113,0.845,115.924,4,3WGhDlddrE9npY07UYyA7D,California Strut,18,A Fifth of Beethoven,1976-10-31,C,major,C major,213173
Walter Murphy,Disco,0.652,0.799,10,-6.673,1,0.0413,0.965,0.913,114.646,4,3WGhDlddrE9npY07UYyA7D,Suite Love Symphony,10,A Fifth of Beethoven,1976-10-31,A#,major,A# major,175906
Walter Murphy,Disco,0.764,0.637,10,-10.151,1,0.0672,0.257,0.959,131.443,4,3WGhDlddrE9npY07UYyA7D,Midnight Express,9,A Fifth of Beethoven,1976-10-31,A#,major,A# major,186773
Walter Murphy,Disco,0.652,0.642,10,-8.144,1,0.0453,0.832,0.826,108.684,4,3WGhDlddrE9npY07UYyA7D,A Fifth of Beethoven,31,A Fifth of Beethoven,1976-10-31,A#,major,A# major,183773
War,Disco,0.855,0.79,9,-10.967,0,0.0981,0.00859,0.519,118.658,4,7pCaMlTawu0ljgxW37XKR4,Galaxy - Edit,5,Anthology 1970-1994,1994-01-01,A,minor,A minor,318066
Was (Not Was),Disco,0.675,0.972,2,-6.453,1,0.0722,0.0371,0.396,118.307,4,1tHKBdN7kXJXI6PIZ5szN3,Tell Me That I'm Dreaming,8,Out Come The Freaks,2004-01-01,D,major,D major,302133
Wham!,Disco,0.624,0.516,4,-12.036,0,0.0402,2.41e-5,0.92,119.162,4,4OGNb3T3gb76EdH9Nl1gL1,Lovemaker,4,Wham!,1978-03-06,E,minor,E minor,303933
Wild Cherry,Disco,0.807,0.712,0,-10.877,1,0.0824,0,0.889,109.37,4,50M2o5oVvrG0LEt6ecgJXy,Play That Funky Music,30,"DISCO - 100 Hit's - Dance floor fillers from the 70s and 80s inc. The Jacksons, Boney M & Earth Wind & Fire",2013-06-21,C,major,C major,299240
