Country,"Fertility rate (births/woman)","Life expectancy at birth (years)",GDP (USD),Population density (people/km2),GDP per capita growth (%/yr),Income per capita (USD),CO2 emissions (tons per capita)
Turks and Caicos Islands,,,686787810,34.378947368,,,5.838456828
Azerbaijan,1.92,70.938,52902703376.1056,109.542349350,3.549455657,3868.828519903,3.388225879
Lower middle income,2.987874564,66.094633674,4469300518565.36,133.474836932,5.177544211,1383.736955144,1.331072622
IDA & IBRD total,2.656299900,68.767905631,21461912449022.6,62.067537310,5.857721906,2963.439345142,3.276810871
Djibouti,3.3,60.062,,36.246678171,,,0.615387087
Tuvalu,,,31824701.2779469,351,-3.708599863,,0.696486230
Malawi,5.332,55.564,6959655570.89098,154.217352567,3.849632629,357.975906597,0.078688757
Latin America & Caribbean (excluding high income),2.198628657,73.892508897,4904594232667.31,29.433637150,4.816913273,7255.187336702,2.794037559
Maldives,2.206,75.905,2588176054.6875,1219.113333333,3.647137216,5396.348597869,2.556735223
Cote d'Ivoire,5.088,52.964,24884505034.5564,64.569025157,-0.336444149,1090.910152440,0.339322893
Zambia,5.415,55.655,20265556273.582,18.302619083,7.129783614,999.132232505,0.197823105
St. Vincent and the Grenadines,2.07,71.776,681225962.962963,277.576923077,-3.324957351,5355.418168348,2.032423445
Botswana,3.022,60.211,12786654365.8738,3.506264006,6.727544590,4648.767598072,2.358418906
French Polynesia,2.095,75.611,,72.801912568,,,3.220348652
Chad,6.592,50.89,10657705536.4978,9.491848793,9.826047645,670.452945475,0.043259799
Sub-Saharan Africa (excluding high income),5.258351905,56.723768306,1370527198887.1,40.907166071,2.741872448,1183.920424062,0.858717285
Greenland,2.195,70.857073171,2503156060.52524,0.138640517,0.695314556,,11.663772955
Montenegro,1.76,75.151,4139192052.98013,46.054126394,2.546263599,5867.368607508,4.167664361
Armenia,1.722,73.331,9260284937.79782,101.064945557,2.582648081,2918.101653383,1.465617820
Antigua and Barbuda,1.988,75.823,1148700000,200.063636364,-8.920402499,,5.956979597
Estonia,1.72,75.429268293,19685033799.4182,31.410120311,2.941401323,11363.220567054,13.599689067
Cabo Verde,2.581,71.062,1664310769.55229,122.246650124,0.234534183,2554.300743153,1.131390388
Nicaragua,2.601,72.428,8758639096.47693,48.396750873,3.002479462,1274.915038599,0.778851026
IDA blend,4.506411897,59.336633456,717963085057.526,77.627364174,3.694440828,1272.141323539,0.891885613
Early-demographic dividend,2.772131999,68.056457652,8554858798929.54,87.839634556,4.574182035,2456.324855192,2.120645336
